tau,density,accuracy,misclassified
1e-12,0.0,0.7168571428571429,5946
1e-12,0.05,0.25866666666666666,15568
1e-12,0.1,0.14047619047619048,18050
1e-12,0.2,0.0989047619047619,18923
1e-12,0.3,0.09633333333333334,18977
1e-10,0.0,0.9152857142857143,1779
1e-10,0.05,0.2755714285714286,15213
1e-10,0.1,0.16738095238095238,17485
1e-10,0.2,0.12276190476190477,18422
1e-10,0.3,0.11542857142857142,18576
1e-08,0.0,0.9153333333333333,1778
1e-08,0.05,0.2863809523809524,14986
1e-08,0.1,0.17342857142857143,17358
1e-08,0.2,0.1389047619047619,18083
1e-08,0.3,0.12557142857142858,18363
1e-06,0.0,0.9164285714285715,1755
1e-06,0.05,0.44895238095238094,11572
1e-06,0.1,0.29419047619047617,14822
1e-06,0.2,0.19933333333333333,16814
1e-06,0.3,0.1579047619047619,17684
0.0001,0.0,0.9175238095238095,1732
0.0001,0.05,0.8028571428571428,4140
0.0001,0.1,0.6148571428571429,8088
0.0001,0.2,0.38776190476190475,12857
0.0001,0.3,0.2790952380952381,15139
