tau,noise_std,accuracy,misclassified
1e-12,0.0,0.7168571428571429,5946
1e-12,0.1,0.7146190476190476,5993
1e-12,0.2,0.7087142857142857,6117
1e-12,0.4,0.6857142857142857,6600
1e-12,0.8,0.6294761904761905,7781
1e-10,0.0,0.9152857142857143,1779
1e-10,0.1,0.9126190476190477,1835
1e-10,0.2,0.9092380952380953,1906
1e-10,0.4,0.8983333333333333,2135
1e-10,0.8,0.8650476190476191,2834
1e-08,0.0,0.9153333333333333,1778
1e-08,0.1,0.9145238095238095,1795
1e-08,0.2,0.9112380952380953,1864
1e-08,0.4,0.8959047619047619,2186
1e-08,0.8,0.861,2919
1e-06,0.0,0.9164285714285715,1755
1e-06,0.1,0.9141904761904762,1802
1e-06,0.2,0.9110952380952381,1867
1e-06,0.4,0.8967142857142857,2169
1e-06,0.8,0.8677619047619047,2777
0.0001,0.0,0.9175238095238095,1732
0.0001,0.1,0.9163333333333333,1757
0.0001,0.2,0.9122380952380953,1843
0.0001,0.4,0.9027619047619048,2042
0.0001,0.8,0.8663333333333333,2807
